Genus,Family,C_value,tavg,perc_ag,perc_per,HybProp,Hyb_Ratio
Osyris,Santalaceae,1.687142857,0.7295,0.002139037,1.0,0.0,0.0
Oxalis,Oxalidaceae,2.333809524,0.7295,0.003896104,0.9375,0.0,0.0
Oxylobium,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Oxytheca,Polygonaceae,1.687142857,0.7295,0.002727273,0.0,0.0,0.0
Oxytropis,Fabaceae,4.61,0.7295,0.096494845,1.0,0.510204082,0.12244898
Ozothamnus,Asteraceae,1.687142857,0.7295,0.00210989,1.0,5.882352941,0.470588235
Paederota,Plantaginaceae,1.687142857,0.7295,0.005925926,1.0,0.0,0.0
Paeonia,Paeoniaceae,20.28384615,0.7295,0.0,1.0,0.0,0.0
Palafoxia,Asteraceae,1.687142857,0.7295,0.00210989,0.0,0.0,0.0
Panax,Araliaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pancratium,Amaryllidaceae,24.55666667,0.7295,0.0,1.0,0.0,0.0
Panicum,Poaceae,1.8975,0.7295,0.074314214,0.48,0.051264525,0.019480519
Papaver,Papaveraceae,3.845,0.23,0.0,0.290909091,0.067340067,0.018181818
Paradisea,Asparagaceae,3.725,0.7295,0.0,1.0,0.0,0.0
Parapholis,Poaceae,9.08,0.7295,0.074314214,0.0,0.0,0.0
Parentucellia,Orobanchaceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Parietaria,Urticaceae,0.57,0.7295,0.0,0.325,0.0,0.0
Parnassia,Celastraceae,1.18,0.7295,0.0,1.0,1.818181818,0.090909091
Paronychia,Caryophyllaceae,1.34,0.7295,0.001818182,0.653846154,0.0,0.0
Parsonsia,Apocynaceae,1.687142857,0.7295,0.000658617,1.0,0.0,0.0
Parthenium,Asteraceae,1.687142857,0.7295,0.00210989,0.8,0.0,0.0
Parvisedum,Crassulaceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Paspalidium,Poaceae,1.687142857,0.7295,0.074314214,1.0,0.0,0.0
Paspalum,Poaceae,1.232083333,0.7295,0.074314214,0.92,0.0,0.0
Passiflora,Passifloraceae,1.7304,0.967,0.001652893,1.0,0.0,0.0
Pastinaca,Apiaceae,1.73,0.7295,0.003968254,0.25,0.0,0.0
Patersonia,Iridaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pectis,Asteraceae,1.687142857,0.7295,0.00210989,0.0,0.0,0.0
Pectocarya,Boraginaceae,1.687142857,0.7295,0.001824818,0.0,1.515151515,0.083333333
Pedicularis,Orobanchaceae,2.84,0.962,0.0,0.957317073,0.0,0.0
Pediocactus,Cactaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Pediomelum,Fabaceae,1.687142857,0.7295,0.096494845,1.0,0.0,0.0
Pelargonium,Geraniaceae,8.1,0.7295,0.0,0.96875,2.197802198,0.142857143
Pelea,Rutaceae,1.687142857,0.7295,0.001652893,1.0,0.0,0.0
Pellaea,Pteridaceae,6.81,0.7295,0.0,1.0,2.857142857,0.2
Peltaria,Brassicaceae,0.763333333,0.7295,0.00485306,1.0,0.0,0.0
Pennisetum,Poaceae,2.121666667,0.7295,0.074314214,0.875,0.0,0.0
Penstemon,Plantaginaceae,0.819913043,0.7295,0.005925926,1.0,0.081371694,0.075268817
Pentachaeta,Asteraceae,1.687142857,0.7295,0.00210989,0.0,0.0,0.0
Pentagramma,Pteridaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Peperomia,Piperaceae,1.887,0.7295,0.000992556,0.538461538,0.0,0.0
Perideridia,Apiaceae,1.687142857,0.7295,0.003968254,1.0,0.0,0.0
Periploca,Apocynaceae,0.5,0.7295,0.000658617,1.0,0.0,0.0
Perityle,Asteraceae,1.687142857,0.7295,0.00210989,0.833333333,0.0,0.0
Persicaria,Polygonaceae,0.565,0.7295,0.002727273,0.375,1.814516129,0.28125
Persoonia,Proteaceae,1.687142857,1.135,0.000625,1.0,7.272727273,0.363636364
Petalonyx,Loasaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Petasites,Asteraceae,0.88,0.7295,0.00210989,1.0,1.169590643,0.105263158
Petrocoptis,Caryophyllaceae,1.687142857,0.7295,0.001818182,1.0,0.0,0.0
Petrorhagia,Caryophyllaceae,0.885,0.7295,0.001818182,0.24,0.307692308,0.038461538
Petroselinum,Apiaceae,2.568333333,0.7295,0.003968254,0.0,0.0,0.0
Petrosimonia,Amaranthaceae,1.687142857,0.7295,0.041463415,0.0,0.0,0.0
Peucedanum,Apiaceae,3.09,0.7295,0.003968254,0.903225806,0.0,0.0
Phacelia,Boraginaceae,1.687142857,0.7295,0.001824818,0.137195122,0.03740835,0.030487805
Phagnalon,Asteraceae,1.1,0.7295,0.00210989,1.0,20.0,0.5
Phalacrocarpum,Asteraceae,1.687142857,0.7295,0.00210989,1.0,0.0,0.0
Phalaris,Poaceae,3.637333333,0.7295,0.074314214,0.394736842,0.0,0.0
Phaseolus,Fabaceae,0.824788732,0.473,0.096494845,0.5,0.0,0.0
Phebalium,Rutaceae,1.687142857,0.7295,0.001652893,1.0,0.0,0.0
Phegopteris,Thelypteridaceae,7.2,0.7295,0.0,1.0,0.0,0.0
Phellodendron,Rutaceae,1.687142857,0.7295,0.001652893,1.0,0.0,0.0
Phelypaea,Orobanchaceae,2.675,0.7295,0.0,1.0,0.0,0.0
Phemeranthus,Montiaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Philadelphus,Hydrangeaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Phillyrea,Oleaceae,1.687142857,0.7295,0.003252033,1.0,0.0,0.0
Phippsia,Poaceae,1.687142857,0.7295,0.074314214,1.0,150.0,0.75
Phleum,Poaceae,2.314285714,0.7295,0.074314214,0.625,0.0,0.0
Phlomis,Lamiaceae,1.687142857,0.7295,0.004320557,1.0,1.098901099,0.071428571
Phlox,Polemoniaceae,1.687142857,0.54,0.0,0.96,0.408163265,0.1
Phoenix,Arecaceae,1.112857143,0.7295,0.0005,1.0,0.0,0.0
Pholisma,Boraginaceae,1.687142857,0.7295,0.001824818,1.0,0.0,0.0
Pholistoma,Boraginaceae,1.687142857,0.7295,0.001824818,0.0,0.0,0.0
Phoradendron,Santalaceae,1.687142857,0.7295,0.002139037,1.0,0.0,0.0
Phormium,Xanthorrhoeaceae,0.76,0.946,0.0,1.0,0.0,0.0
Phyllangium,Loganiaceae,1.687142857,0.7295,0.0,0.0,0.0,0.0
Phyllanthus,Phyllanthaceae,1.146666667,0.7295,0.002292264,0.6,0.0,0.0
Phyllitis,Aspleniaceae,1.687142857,0.7295,0.0,1.0,300.0,1.5
Phyllodoce,Ericaceae,1.687142857,0.7295,0.0,1.0,0.0,0.0
Phyllostachys,Poaceae,2.5,0.7295,0.074314214,1.0,0.0,0.0
Phyllostegia,Lamiaceae,1.687142857,0.7295,0.004320557,1.0,0.854700855,0.111111111
